  0.419051929705639114E-02 /* coefficient of tap   103 */
  0.391744916276614585E-02 /* coefficient of tap   104 */
  0.365289555544053223E-02 /* coefficient of tap   105 */
  0.339718667896888071E-02 /* coefficient of tap   106 */
  0.315060986759100192E-02 /* coefficient of tap   107 */
  0.291341148909510039E-02 /* coefficient of tap   108 */
  0.268579703702246508E-02 /* coefficient of tap   109 */
  0.246793140808436017E-02 /* coefficient of tap   110 */
  0.225993936006977369E-02 /* coefficient of tap   111 */
  0.206190614463382448E-02 /* coefficient of tap   112 */
  0.187387830851083911E-02 /* coefficient of tap   113 */
  0.169586465589739665E-02 /* coefficient of tap   114 */
  0.152783736400359693E-02 /* coefficient of tap   115 */
  0.136973324307880539E-02 /* coefficient of tap   116 */
  0.122145513158491891E-02 /* coefficient of tap   117 */
  0.108287341661851389E-02 /* coefficient of tap   118 */
  0.953827669175925763E-03 /* coefficient of tap   119 */
