  0.395961019125615187E-04 /* coefficient of tap     0 */
  0.198883199556738716E-03 /* coefficient of tap     1 */
  0.359345431554547500E-03 /* coefficient of tap     2 */
  0.475432569135535221E-03 /* coefficient of tap     3 */
  0.494035504847497897E-03 /* coefficient of tap     4 */
  0.361739335664213701E-03 /* coefficient of tap     5 */
  0.337318128864775967E-04 /* coefficient of tap     6 */
  -.516671690527515536E-03 /* coefficient of tap     7 */
  -.128917772586089807E-02 /* coefficient of tap     8 */
  -.224973476923483151E-02 /* coefficient of tap     9 */
  -.332714514288719742E-02 /* coefficient of tap    10 */
  -.441412532596692663E-02 /* coefficient of tap    11 */
  -.537342895110017426E-02 /* coefficient of tap    12 */
  -.604906578769663827E-02 /* coefficient of tap    13 */
  -.628199080120880548E-02 /* coefficient of tap    14 */
  -.592897689132764860E-02 /* coefficient of tap    15 */
  -.488280788581252966E-02 /* coefficient of tap    16 */
  -.309151707963227329E-02 /* coefficient of tap    17 */
  -.574220140066383688E-03 /* coefficient of tap    18 */
  0.256880446710786403E-02 /* coefficient of tap    19 */
  0.615373405631115399E-02 /* coefficient of tap    20 */
  0.991978954948937641E-02 /* coefficient of tap    21 */
  0.135451660772952475E-01 /* coefficient of tap    22 */
  0.166716496608474766E-01 /* coefficient of tap    23 */
  0.189362096422578733E-01 /* coefficient of tap    24 */
  0.200069010311755413E-01 /* coefficient of tap    25 */
  0.196196727779997210E-01 /* coefficient of tap    26 */
  0.176122596112202600E-01 /* coefficient of tap    27 */
  0.139513088834291076E-01 /* coefficient of tap    28 */
  0.874929175890374466E-02 /* coefficient of tap    29 */
  0.226855523302890338E-02 /* coefficient of tap    30 */
  -.508897464068512483E-02 /* coefficient of tap    31 */
  -.128065330319493209E-01 /* coefficient of tap    32 */
  -.202902979157731211E-01 /* coefficient of tap    33 */
  -.269173698901604474E-01 /* coefficient of tap    34 */
  -.320898824287692052E-01 /* coefficient of tap    35 */
  -.352903101094069482E-01 /* coefficient of tap    36 */
  -.361326486639304622E-01 /* coefficient of tap    37 */
  -.344042819419398426E-01 /* coefficient of tap    38 */
  -.300940351538447492E-01 /* coefficient of tap    39 */
  -.234030903125938527E-01 /* coefficient of tap    40 */
  -.147370026940166720E-01 /* coefficient of tap    41 */
  -.467885525081155151E-02 /* coefficient of tap    42 */
  0.605455973017813953E-02 /* coefficient of tap    43 */
  0.166699275639812860E-01 /* coefficient of tap    44 */
  0.263629668660778992E-01 /* coefficient of tap    45 */
  0.343864293982160873E-01 /* coefficient of tap    46 */
  0.401142700926360085E-01 /* coefficient of tap    47 */
  0.430959846644153721E-01 /* coefficient of tap    48 */
  0.430959846644153721E-01 /* coefficient of tap    49 */
  0.401142700926360085E-01 /* coefficient of tap    50 */
  0.343864293982160873E-01 /* coefficient of tap    51 */
  0.263629668660778992E-01 /* coefficient of tap    52 */
  0.166699275639812860E-01 /* coefficient of tap    53 */
  0.605455973017813953E-02 /* coefficient of tap    54 */
  -.467885525081155151E-02 /* coefficient of tap    55 */
  -.147370026940166720E-01 /* coefficient of tap    56 */
  -.234030903125938527E-01 /* coefficient of tap    57 */
  -.300940351538447492E-01 /* coefficient of tap    58 */
  -.344042819419398426E-01 /* coefficient of tap    59 */
  -.361326486639304622E-01 /* coefficient of tap    60 */
  -.352903101094069482E-01 /* coefficient of tap    61 */
  -.320898824287692052E-01 /* coefficient of tap    62 */
  -.269173698901604474E-01 /* coefficient of tap    63 */
  -.202902979157731211E-01 /* coefficient of tap    64 */
  -.128065330319493209E-01 /* coefficient of tap    65 */
  -.508897464068512483E-02 /* coefficient of tap    66 */
  0.226855523302890338E-02 /* coefficient of tap    67 */
  0.874929175890374466E-02 /* coefficient of tap    68 */
  0.139513088834291076E-01 /* coefficient of tap    69 */
  0.176122596112202600E-01 /* coefficient of tap    70 */
  0.196196727779997210E-01 /* coefficient of tap    71 */
  0.200069010311755413E-01 /* coefficient of tap    72 */
  0.189362096422578733E-01 /* coefficient of tap    73 */
  0.166716496608474766E-01 /* coefficient of tap    74 */
  0.135451660772952475E-01 /* coefficient of tap    75 */
  0.991978954948937641E-02 /* coefficient of tap    76 */
  0.615373405631115399E-02 /* coefficient of tap    77 */
  0.256880446710786403E-02 /* coefficient of tap    78 */
  -.574220140066383688E-03 /* coefficient of tap    79 */
  -.309151707963227329E-02 /* coefficient of tap    80 */
  -.488280788581252966E-02 /* coefficient of tap    81 */
  -.592897689132764860E-02 /* coefficient of tap    82 */
  -.628199080120880548E-02 /* coefficient of tap    83 */
  -.604906578769663827E-02 /* coefficient of tap    84 */
  -.537342895110017426E-02 /* coefficient of tap    85 */
  -.441412532596692663E-02 /* coefficient of tap    86 */
  -.332714514288719742E-02 /* coefficient of tap    87 */
  -.224973476923483151E-02 /* coefficient of tap    88 */
  -.128917772586089807E-02 /* coefficient of tap    89 */
  -.516671690527515536E-03 /* coefficient of tap    90 */
  0.337318128864775967E-04 /* coefficient of tap    91 */
  0.361739335664213701E-03 /* coefficient of tap    92 */
  0.494035504847497897E-03 /* coefficient of tap    93 */
  0.475432569135535221E-03 /* coefficient of tap    94 */
  0.359345431554547500E-03 /* coefficient of tap    95 */
  0.198883199556738716E-03 /* coefficient of tap    96 */
  0.395961019125615187E-04 /* coefficient of tap    97 */
