Артикул	Наименование товара	Розничные	Оптовые	Дилерские	Спец.	Ед.изм.	
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,167 х 2,7 м,  цены в EUR"							
							
15645	Короб пласт. 50 x 15 KC LO полукруг. (серый)	4,38	4,07	3,91	3,76	шт
15646	Короб пласт. 50 x 15 LO HC полукруг. (белый)	4,38	4,07	3,91	3,76	шт
15647	Короб пласт. 60 x 40 LH  2м	5,20	4,82	4,63	4,45	шт
15648	Короб пласт. 80 x 40p LH  2м	7,00	6,50	6,25	6,00	шт
14028	Короб пласт. 80 х 2,5 LP плинтусный 2 м	5,83	5,41	5,21	5,00	шт
						
09 Электротовары. 09 Разное Электротовары,  цены в $						
						
15779	Коробка для ГК розпр. с крышкой КО 97/L	0,54	0,52	0,48	0,44	шт
15919	Коробка мон. кирпич/набор PK60 (ELEKTROPLAST)	0,11	0,11	0,10	0,10	шт
16272	Коробка монт. гипс. PK60 (ELEKTROPLAST)	0,32	0,30	0,29	0,28	шт
15516	Коробка монт. гипс/набор PK60 (KONTAKT)	0,32	0,30	0,29	0,28	шт
14535	Коробка монт. двойн. для полых стен КМ4	2,22	2,14	2,05	1,97	шт
15483	Коробка монт. набор/кирпич PK60 (KONTAKT)	0,22	0,20	0,18	0,16	шт
15783	Коробка монт. под ГК двойная КР 64/2L	0,54	0,52	0,48	0,44	шт
15584	Коробка монт. под ГК с металл. крепл. КР 64/LA	0,29	0,28	0,26	0,25	шт
15784	Коробка монт. под ГК тройная КР 64/3L	1,01	0,95	0,89	0,83	шт
15778	Коробка монт. под кирпич наборная КР 67/1	0,16	0,14	0,13	0,12	шт
15588	Коробка монт. под кирпич наборная КР 67/2	0,17	0,16	0,14	0,13	шт
15507	Коробка разветвит. с крышкой 026-100	0,50	0,48	0,47	0,46	шт
16270	Коробка розпр. KO 100	0,65	0,62	0,60	0,58	шт
16269	Коробка розпр. KO 110/L	0,86	0,83	0,80	0,77	шт
16271	Коробка розпр. KO 125	1,08	1,04	1,00	0,96	шт
15480	Коробка розпр. с крышкой PK70 (KONTAKT)	0,24	0,22	0,20	0,18	шт
15543	Прокладка сдв влагозащитная	15,91	0,00	0,00	0,00	шт
15540	Радиатор 1000 Вт IP-34 Мех. термостат (TUPA M1000)	94,24	89,48	85,42	81,35	шт
15545	Радиатор 1500 Вт IP-34 Мех. термостат (TUPA M1500)	103,86	97,93	93,48	89,03	шт
29001	Радиатор 1600 Вт IP-34 Мех. термостат	0,00	0,00	0,00	0,00	шт
15546	Радиатор 1750 Вт IP-34 Мех. термостат (TUPA M1750)	103,86	97,93	93,48	89,03	шт
29002	Радиатор 2000 Вт IP-34 Мех. термостат (TUPA M2000)	123,82	116,74	111,43	106,13	шт
15532	Термостат 10-60 град. IP20 10A (ELF-10)	55,60	52,00	48,80	46,00	шт
						
09 Электротовары. 09 Электротовары ELSO,  цены в $						
						
15401	Выключатель 1-кл с 2-х мест, без рамки 21164.57	3,00	2,50	2,12	2,00	шт
15410	Выключатель 1-кл с 2-х мест, сл. кость, без рамки 21164.57	3,00	2,50	2,12	2,00	шт
15402	Выключатель 2-кл ,без рамки 21164.55	3,35	2,88	2,80	2,64	шт
15403	Выключатель 2-кл с 2-х мест, без рамки 21164.40/4	5,95	5,56	5,26	5,00	шт
15411	Выключатель 2-кл, сл. кость, без рамки 21164.55	3,35	2,88	2,80	2,64	шт
15431	Выключатель 3-кл ,без рамки 201104	10,96	10,55	10,20	9,90	шт
15405	Выключатель с подсв, без рамки 21164.98/4	4,36	4,04	3,91	3,70	шт
15404	Выключатель с подсв, сл. кость, без рамки 21164.98	4,36	4,04	3,91	3,85	шт
15501	Диммер 400 W ( в комплекте ) 70001	18,67	17,36	16,81	15,88	шт
15502	Диммер 600 W (в комплекте) 70002	36,18	33,65	32,56	30,76	шт
15445	Диммер 600 W (в комплекте), сл. кость	36,18	33,65	32,56	30,76	шт
15504	Кнопка звонка, белая, без рамки 21165.33/4	3,54	3,29	3,18	3,01	шт
15503	Кнопка звонка, сл.кость, без рамки 21165.33	3,54	3,29	3,18	3,01	шт
15508	Рамка 1-ая /белая/ 21169.51/4	0,60	0,56	0,52	0,48	шт
15548	Рамка 1-ая /сл. кость/ 21169.51	0,60	0,56	0,52	0,48	шт
15518	Рамка 2-ая /белая/ 21169.52/4	1,15	1,07	1,00	0,92	шт
15547	Рамка 2-ая /сл. кость/ 21169.52	1,15	1,07	1,00	0,92	шт
15519	Рамка 3-ая /белая/ 21169.53/4	1,84	1,73	1,61	1,48	шт
15420	Рамка 3-ая /сл. кость/ 204300	1,84	1,73	1,61	1,48	шт
15509	Рамка 4-ая /белая/ 21169.54/4	2,30	2,15	2,00	1,85	шт
15421	Рамка 4-ая /сл. кость/ 204400	2,30	2,15	2,00	1,85	шт
15524	Рамка 5-ая /белая/ 21169.55/4	2,53	2,36	2,20	2,02	шт
15425	Рамка 5-ая /сл. кость/ 204500	2,53	2,36	2,20	2,02	шт
15510	Рамка надштук.1-ая/белая/ 21170.31/4	1,50	1,40	1,30	1,20	шт
15422	Рамка надштук.1-ая/сл.кость/ 21170.31	1,50	1,40	1,30	1,20	шт
15511	Рамка надштук.2-ая/белая/ 21170.32/4	1,80	1,68	1,56	1,44	шт
15423	Рамка надштук.2-ая/сл.кость/ 21170.32	1,80	1,68	1,56	1,44	шт
15544	Розетка  c з/к сдвоенная накладная 22062.7/4	4,64	4,50	4,39	4,25	шт
15476	Розетка  c з/к сдвоенная накладная, сл. кость 235400	13,36	12,42	12,02	11,35	шт
15601	Розетка  TELEFON 8 (4) белая (29050.60/4)	8,56	7,96	7,70	7,27	шт
15624	Розетка  TELEFON 8 (4) сл.кость (29050.60)	8,56	7,96	7,70	7,27	шт
15602	Розетка  TELEFON 8 (8) белая (290050.62/4)	9,60	8,93	8,64	8,15	шт
15689	Розетка  TELEFON 8 (8) сл.кость (663188/206400)	9,60	8,93	8,64	8,15	шт
15612	Розетка  TELEFON 8/8 (8/8) двойн. белая (663288)	11,06	10,28	9,96	9,41	шт
15477	Розетка  TELEFON 8/8 (8/8) двойн. сл. кость	11,06	10,28	9,96	9,41	шт
15603	Розетка  без з/к , без рамки 22008.53/4	1,70	1,44	1,40	1,32	шт
15412	Розетка  без з/к , сл. кость, без рамки 22008.53	1,70	1,44	1,40	1,32	шт
15604	Розетка  без з/к сдвоен 22064.43/4	3,80	3,20	2,68	2,53	шт
15413	Розетка  без з/к сдвоен, сл. кость 22064.43	3,80	3,20	2,68	2,53	шт
15605	Розетка  с з/к  центр /белая/ 22081.74/4	2,20	2,04	1,98	1,87	шт
15607	Розетка  с з/к IP-20 c крышкой 22084.33/4	3,70	3,44	3,26	3,16	шт
15418	Розетка  с з/к IP-20 c крышкой, сл. кость 22084.33/4	3,70	3,44	3,26	3,16	шт
15608	Розетка  с з/к с защитой от детей 22084.26/4	2,40	2,23	2,16	2,04	шт
15774	Розетка  с з/к с защитой от детей сл. кость 215204	0,00	0,00	0,00	0,00	шт
15609	Розетка  с з/к сдвоен 22064.31/4	4,20	3,76	3,40	3,13	шт
15416	Розетка  с з/к сдвоен, сл. кость 22064.31	4,20	3,76	3,40	3,13	шт
15417	Розетка  с з/к техн IP44  22085.11/9	2,90	2,70	2,62	2,46	шт
15424	Розетка  с з/к, без рамки /сл. кость/ 215000	2,20	2,04	1,98	1,87	шт
15606	Розетка  с з/к, без рамки 22084.24/4	2,20	2,04	1,98	1,87	шт
15610	Розетка TV конечная с крышкой, без рамки 29050.431	13,36	12,42	12,02	11,35	шт
15443	Розетка TV конечная с крышкой, без рамки, сл. кость	13,36	12,42	12,02	11,35	шт
15419	Розетка TV конечная спутниковая, без рамки, белая 162310	24,00	22,32	21,60	20,40	шт
15611	Розетка TV проход, с крышкой, без рамки 29050.433	13,90	12,92	12,50	11,81	шт
15444	Розетка TV проход, с крышкой, без рамки, сл. кость	13,90	12,92	12,50	11,81	шт
15414	Розетка ЕВРО белая 22008.55/4	1,60	1,49	1,44	1,36	шт
15415	Розетка ЕВРО сл. кость 22008.55	1,60	1,49	1,44	1,36	шт
15432	Фланец уплотнительный 1-ый (IP-20) 404910	1,66	1,57	1,49	1,36	шт
09 Электротовары. 09 Электротовары Gunsan,  цены в $						
						
15669	03-01 Выключатель 1-кл Gunsan	0,88	0,82	0,76	0,72	шт
15670	03-01 Выключатель 2-кл Gunsan	1,02	0,95	0,88	0,84	шт
15671	03-03 Розетка без з/к Gunsan	0,88	0,82	0,76	0,72	шт
15672	03-06 Розетка телефонная Gunsan	1,24	1,15	1,07	1,02	шт
15673	03-08 Розетка с з/к Gunsan	1,02	0,95	0,88	0,84	шт
15674	03-09 Розетка TV Gunsan	1,32	1,22	1,14	1,09	шт
15675	03-10 Розетка с з/к и крышкой Gunsan	1,42	1,32	1,22	1,18	шт
15688	03 Вставка белая Gunsan	0,19	0,18	0,17	0,16	шт
15676	25 Рамка 2-я Gunsan	0,88	0,82	0,76	0,72	шт
15678	26 Рамка 3-я Gunsan	1,22	1,14	1,06	1,01	шт
15677	27 Рамка 4-я Gunsan	1,52	1,42	1,31	1,26	шт
15687	6013 Розетка двойная с з/к Gunsan	1,30	1,20	1,12	1,07	шт
						
09 Электротовары. 09 Электротовары MAKEL и OZQUNSAN,  цены в $						
						
11730	"Выключатель 1-кл ""Макеl"" белый 03 01"	1,20	1,12	1,04	0,96	шт
11731	"Выключатель 1-кл ""Макеl"" крем  04 01"	1,20	1,12	1,04	0,96	шт
11732	"Выключатель 1-кл ""Макеl"" с подсв. белый 03 14"	1,49	1,39	1,30	1,19	шт
11733	"Выключатель 2-кл ""Макеl"" белый 03 02"	1,19	1,12	1,03	1,00	шт
11734	"Выключатель 2-кл ""Макеl"" крем  04 02"	1,38	1,30	1,20	1,10	шт
11735	"Диммер ""Макеl"" белый 03 11"	7,30	6,80	6,32	5,83	шт
11736	"Диммер ""Макеl"" крем 04 11"	7,50	7,00	6,50	6,00	шт
11737	"Диммер навесной ""Ozgunsan"" бел 4 03-11"	5,10	4,76	4,42	4,08	шт
11738	"Кнопка звонка  ""Ozgunsan"" бел 5 03-13"	0,92	0,85	0,79	0,73	шт
11739	"Кнопка звонка  с подсв. ""Ozgunsan"" бел 5 1-17"	1,31	1,22	1,13	1,04	шт
11741	"Рамка 2 -ая ""Макеl"" 25"	0,88	0,82	0,76	0,70	шт
11740	"Рамка 2 -ая ""Макеl"" крем 04-25"	0,90	0,84	0,78	0,72	шт
11743	"Рамка 3 -ая ""Макеl"" 26"	1,18	1,09	1,01	0,94	шт
11742	"Рамка 3 -ая ""Макеl"" крем 04-26"	1,24	1,15	1,07	0,98	шт
11756	"Рамка 4 -ая ""Макеl"""	1,58	1,48	1,37	1,25	шт
11744	"Розетка ""Ozgunsan"" ТЛФ бел 5 03-06"	0,98	0,91	0,85	0,78	шт
11745	"Розетка ""Макеl"" без з/к белая 03 03"	1,04	0,97	0,90	0,88	шт
11746	"Розетка ""Макеl"" без з/к крем 04 03"	1,20	1,12	1,04	0,96	шт
11747	"Розетка ""Макеl"" с з/к белая 03 08"	1,26	1,18	1,09	1,04	шт
11755	"Розетка ""Макеl"" с з/к и крышкой бел 02 10"	1,64	1,54	1,42	1,31	шт
11748	"Розетка ""Макеl"" с з/к и крышкой крем 04 10"	1,64	1,54	1,42	1,31	шт
11749	"Розетка ""Макеl"" с з/к крем 04 08"	1,42	1,32	1,22	1,13	шт
11750	"Розетка ""Макеl"" ТV белая 03 09"	1,37	1,27	1,18	1,09	шт
11751	"Розетка ""Макеl"" ТV крем 04 09"	1,50	1,40	1,30	1,20	шт
11752	"Розетка ""Макеl"" ТЛФ белая 03 06"	1,32	1,24	1,14	1,06	шт
11753	"Розетка ""Макеl"" ТЛФ крем 04 06"	1,43	1,33	1,24	1,14	шт
11754	"Розетка навесная ""Ozgunsan"" ТЛФ бел 4 03-06"	1,38	1,30	1,20	1,10	шт
						
09 Электротовары. 09 Электротовары PRODAX,  цены в $						
						
16014	Выключатель 1-кл проходной, белый (Pdk2-106kb) /prodax	2,80	2,69	2,59	2,48	шт
15776	Выключатель 1-кл с подсветкой, белый (Pdk2-101kb2) /prodax	3,42	3,29	3,17	3,04	шт
15451	Выключатель 1-кл, белый (Pdk2-101kb) /prodax	3,30	3,18	3,07	2,94	шт
15452	Выключатель 2-кл, белый (Pdk2-105kb) /prodax	3,91	3,77	3,64	3,48	шт
15453	Диммер 400 Вт /prodax	18,71	17,77	17,22	16,46	шт
15454	Диммер 600 Вт /prodax	35,60	33,83	32,76	31,33	шт
15467	Кнопка звонка белая (Pdk2-N101kb) /prodax	3,25	3,08	2,99	2,84	шт
15777	Кнопка звонка с подсветкой, белая (Pdk2-Т101kb2) /prodax	3,65	3,52	3,37	3,24	шт
15455	Рамка 1-я белая (Pk-1) /prodax	0,65	0,62	0,60	0,58	шт
15470	Рамка 1-я крем (Pk-1) /prodax	0,65	0,62	0,60	0,58	шт
15456	Рамка 2-я белая (Pk-2) /prodax	1,08	1,02	0,98	0,95	шт
15471	Рамка 2-я крем (Pk-2) /prodax	1,08	1,02	0,98	0,97	шт
15457	Рамка 3-я белая (Pk-3) /prodax	1,91	1,84	1,78	1,70	шт
15458	Рамка 4-я белая (Pk-4) /prodax	2,46	2,36	2,29	2,18	шт
15459	Рамка 5-я белая (Pk-5) /prodax	2,33	2,21	2,14	2,05	шт
15472	Рамка наружного монтажа, белая (Pfk-1) /prodax	1,22	1,16	1,13	1,09	шт
15460	Розетка 2-я с з/к, белая (Phd5-16k) /prodax	4,68	4,45	4,31	4,18	шт
15473	Розетка 2-я с з/к, крем (Phd5-16k) /prodax	4,68	4,45	4,31	4,18	шт
15461	Розетка TF  (Pid-4(4) kb2) /prodax	7,64	7,26	7,03	6,80	шт
15469	Розетка TF 2-я (Pid-4/4(4/4) kb2) /prodax	9,35	8,88	8,59	8,23	шт
15462	Розетка TV, конечная (Pab-c4 Kb2) /prodax	6,00	5,70	5,52	5,34	шт
15463	Розетка TV, проходная (Pab-10 Kb2) /prodax	7,36	6,98	6,77	6,56	шт
15464	Розетка без з/к, белая (Phd 6-16kb) /prodax	2,76	2,65	2,56	2,45	шт
15468	Розетка без з/к, крем (Phd 6-16kb) /prodax	2,47	2,34	2,27	2,15	шт
15465	Розетка с з/к, белая (Phd2-16nkb) /prodax	2,99	2,87	2,77	2,65	шт
16002	Розетка с з/к, белая со шторкой (Phd2-16nkbg) /prodax	3,12	3,00	2,89	2,77	шт
15466	Розетка с з/к, с катапультой, белая (Phd 3-16kb) /prodax	3,28	3,14	3,04	2,92	шт
						
09 Электротовары. 09 Электротовары Shin Dong-A (New Symphony),  цены в $						
						
15551	KM1 A Коробка монтажная адаптированная /Shin Dong	0,35	0,34	0,34	0,32	шт
15552	KM1 Коробка монтажная прямоуг. /Shin Dong	0,28	0,28	0,26	0,26	шт
15553	KM2 Коробка монтажная двойная /Shin Dong	0,79	0,78	0,77	0,76	шт
15554	KM3 Коробка монтажная для полых стен /Shin Dong	1,56	1,54	1,50	1,48	шт
15555	WRP2211 Розетка 1-я с з/к и крышкой /Shin Dong	4,08	4,01	3,97	3,90	шт
15490	WRP2212 Розетка 2-я с з/к и крышкой /Shin Dong	4,93	4,84	4,79	4,70	шт
15556	WSN0321 Выключатель 1-кл /Shin Dong	2,72	2,68	2,65	2,60	шт
15557	WSN0322 Выключатель 2-кл /Shin Dong	4,25	4,16	4,13	4,06	шт
15558	WSN0323 Выключатель 3-кл /Shin Dong	5,92	5,81	5,76	5,65	шт
15559	WSN0324 Выключатель 1-кл с подсв. /Shin Dong	3,59	3,52	3,46	3,40	шт
15560	WSN0325 Выключатель 2-кл с подсв. /Shin Dong	5,82	5,71	5,60	5,52	шт
15649	"WSN0424 Выкл. 1-кл с подсв.  ""Common"" /Shin Dong"	4,40	4,37	4,33	4,22	шт
15598	"WSN0425 Выкл. 2-кл с подсв.  ""Common"" /Shin Dong"	7,87	7,74	7,55	7,34	шт
15600	"WSN0426 Выкл. 3-кл с подсв.  ""Common"" /Shin Dong"	11,08	10,87	10,66	10,51	шт
15561	WSN1121 Розетка 1-я с з/к /Shin Dong	2,77	2,71	2,66	2,62	шт
15562	WSN1122 Розетка 2-я с з/к вертикальная /Shin Dong	2,84	2,78	2,74	2,69	шт
15563	WSN1221 Розетка 1-я без з/к /Shin Dong	1,82	1,79	1,75	1,73	шт
15564	WSN1222 Розетка 2-я без з/к /Shin Dong	2,50	2,45	2,42	2,39	шт
15565	"WSN1625 Выкл. 1-й с ДУ 120 Вт ""Delux"" /Shin Dong"	67,86	66,62	66,01	64,78	шт
15566	"WSN1626 Выкл. 2-й с ДУ 2х120 Вт ""Delux"" /Shin Dong"	86,81	85,14	83,47	82,21	шт
15567	WSN3124 Выключатель 4-кл /Shin Dong	8,22	8,06	7,99	7,85	шт
15568	WSN3125 Выключатель 5-кл /Shin Dong	9,84	9,67	9,58	9,40	шт
15569	WSN3126 Выключатель 6-кл /Shin Dong	11,63	11,41	11,30	11,10	шт
15517	WSN3224 Выкл. 4-кл с подсветкой /Shin Dong	11,95	11,74	11,63	11,41	шт
15570	WST1022 Розетка без з/к + выключатель /Shin Dong	5,32	5,21	5,11	5,03	шт
15571	WST1023 Розетка с з/к + выключател /Shin Dong	5,82	5,71	5,60	5,52	шт
15489	WST1325 Розетка TV конечн. 1лин. /Shin Dong	6,98	6,86	6,79	6,67	шт
15488	WST1326 Розетка TV проходн. 2лин. /Shin Dong	7,24	7,10	7,04	6,91	шт
15487	WST1327 Розетка TV д/серий 3лин. /Shin Dong	8,78	8,62	8,54	8,38	шт
15486	WST1423 Розетка 1-я ТЛФ (1х6) /Shin Dong	3,65	3,59	3,55	3,49	шт
15522	WST5428 Розетка 4-я с заземл. /Shin Dong	5,82	5,71	5,66	5,56	шт
15572	WSW0403 Светильник-ночник с датчиком /Shin Dong	6,92	6,79	6,66	6,56	шт
15573	Датчик движения 220В, 2А /Shin Dong	34,96	34,28	33,61	33,11	шт
						
09 Электротовары. 09 Электротовары VI-KO,  цены в $						
						
15627	Выкл. B03 01  1-кл. белый VI-KO	1,19	1,10	1,02	0,98	шт
15628	Выкл. B03 02  2-кл. белый VI-KO	1,38	1,28	1,19	1,14	шт
15631	Выкл. B03 14  1-кл. с подсв. белый VI-KO	1,86	1,73	1,60	1,54	шт
15629	Рамка 2-я  P25 белая VI-KO	0,88	0,82	0,76	0,72	шт
15630	Рамка 3-я  P26 белая VI-KO	1,22	1,14	1,06	1,01	шт
15635	Рамка 4-я  P27 белая VI-KO	1,34	1,26	1,18	1,12	шт
15634	Розетка 4000 тройная с з/к VI-KO	2,02	1,87	1,74	1,67	шт
15625	Розетка P03 03 без з/к белая VI-KO	1,19	1,10	1,02	0,98	шт
15632	Розетка P03 06 телефонная белая VI-KO	1,54	1,43	1,32	1,27	шт
15626	Розетка P03 08 с з/к белая VI-KO	1,38	1,28	1,19	1,14	шт
15633	Розетка P03 09 телевизионная белая VI-KO	1,61	1,50	1,39	1,33	шт
						
09 Электротовары. 09 Электротовары Yavuz,  цены в $						
						
15679	03-01 Выключатель 1-кл, белый, Yavuz	0,84	0,78	0,72	0,70	шт
15680	03-02 Выключатель 2-кл, белый, Yavuz	0,98	0,92	0,85	0,82	шт
15681	03-03 Розетка без з/к, белая, Yavuz	0,84	0,78	0,72	0,70	шт
15682	03-05 Выключатель проходной, белый, Yavuz	0,98	0,92	0,85	0,82	шт
15683	03-06 Розетка телефонная, белая, Yavuz	1,22	1,14	1,06	1,01	шт
15684	03-08 Розетка с з/к, белая, Yavuz	0,98	0,92	0,85	0,82	шт
15685	03-09 Розетка TV, белая, Yavuz	1,22	1,14	1,06	1,01	шт
15686	03-10 Розетка с з/к и крышкой, белая, Yavuz	0,98	0,92	0,85	0,82	шт
						
09 Электротовары. 09 Электротовары БудМакс,  цены в $						
						
15406	Выключатель 1-кл. с рамкой (белый) C1 10-001 БМ	1,24	1,20	1,15	1,10	шт
15408	Выключатель 1-кл. с рамкой (сл. к.) C1 10-001 БМ	1,24	1,20	1,15	1,10	шт
15407	Выключатель 2-кл. с рамкой (белый) C5 10-002 БМ	1,38	1,31	1,26	1,21	шт
15409	Выключатель 2-кл. с рамкой (сл. к.) C5 10-002 БМ	1,22	1,16	1,14	1,08	шт
15583	Выключатель лестничный (бел) C6 10-011 БМ	1,37	1,27	1,22	1,18	шт
15515	Выключатель лестничный (сл. к.) C6 10-011 БМ	1,37	1,27	1,22	1,18	шт
15619	Кнопка звонка (белая) C1 10-001 БМ	1,24	1,15	1,12	1,07	шт
15620	Кнопка звонка (сл. к.) C1 10-001 БМ	1,13	1,07	1,06	1,00	шт
15512	Рамка 2-ая /белая/ БМ	0,70	0,67	0,64	0,60	шт
15513	Рамка 2-ая /сл. к./ БМ	0,64	0,60	0,59	0,56	шт
15514	Рамка 3-ая /белая/ БМ	0,77	0,73	0,70	0,65	шт
15622	Рамка 3-ая /сл. к./ БМ	0,77	0,73	0,70	0,65	шт
16267	Рамка 4-ая /белая/ БМ	1,12	1,07	1,02	0,96	шт
16268	Рамка 4-ая /сл. к./ БМ	1,12	1,07	1,02	0,96	шт
17150	Розетка c з/к с защитной крышкой (белая) PC 16-001 БМ	1,28	1,21	1,16	1,12	шт
15617	Розетка TF /белая/ БМ	1,34	1,30	1,26	1,21	шт
15618	Розетка TF /сл. к./ БМ	1,34	1,30	1,26	1,21	шт
15613	Розетка без з/к с рамкой (белая) PC 10-001 БМ	1,07	1,04	1,00	0,97	шт
15615	Розетка без з/к с рамкой (сл. к.) PC 10-001 БМ	1,07	1,04	1,00	0,97	шт
15614	Розетка с з/к с рамкой (белая) PC 16-001 БМ	1,26	1,18	1,13	1,08	шт
15616	Розетка с з/к с рамкой (сл. к.) PC 16-001 БМ	1,26	1,18	1,13	1,08	шт
15636	Розетка телевизионная (белая) БМ	2,15	1,99	1,91	1,84	шт
15623	Розетка телевизионная (сл. к.) БМ	2,15	1,99	1,91	1,84	шт
						
09 Электротовары. 09 Электротовары Еlectro-Plast,  цены в $						
						
11473	03221 Розетка сдвоен. с сер. кр. Schuko Hermetic EP	2,47	2,38	2,28	2,18	шт
11474	03222 Розетка сдвоен. с бел. кр. Schuko Hermetic EP	2,47	2,38	2,28	2,18	шт
11475	03231 Розетка 3-я с сер. кр. Schuko Hermetic EP	4,04	3,89	3,73	3,58	шт
11476	03232 Розетка 3-я с бел. кр. Schuko Hermetic EP	4,04	3,89	3,73	3,58	шт
11472	03241 Розетка с сер. кр. Schuko Hermetic EP	1,85	1,78	1,70	1,63	шт
11471	03242 Розетка с бел. кр. Schuko Hermetic EP	1,85	1,78	1,70	1,63	шт
11479	03312 Выключатель 1-кл. бел. кл. Hermetic EP	1,54	1,48	1,42	1,36	шт
11477	03322 Выключатель 2-кл. бел. кл. Hermetic EP	1,61	1,55	1,49	1,43	шт
11478	"03372 Клавиша ""Звонок"" бел. кл. Hermetic EP"	1,54	1,48	1,42	1,36	шт
11460	0440 Выключатель 1-кл. бел. Venus EP	2,24	2,16	2,08	1,99	шт
11461	0441 Выключатель 2-кл. бел. Venus EP	2,51	2,41	2,32	2,22	шт
11462	"0443 Клавиша ""Звонок"" бел. Venus EP"	2,18	2,10	2,02	1,93	шт
11463	0444 Выключатель 1-кл. 2-х мест. бел. Venus EP	3,53	3,38	3,25	3,12	шт
11464	0445 Розетка без з/к бел. Venus EP	1,88	1,81	1,74	1,67	шт
11465	0447 Розетка сдв. без з/к бел. Venus EP	2,29	2,20	2,11	2,03	шт
11467	0448 Розетка сдв. c з/к бел. Venus EP	3,02	2,92	2,80	2,68	шт
11468	0449 Розетка брызгозащ. c сер. крышк. Venus EP	2,54	2,45	2,35	2,26	шт
11480	0450 Розетка брызгозащ. c бел. крышк. Venus EP	2,60	2,51	2,41	2,32	шт
11481	0452 Рамка 2-я белая Venus EP	0,36	0,35	0,34	0,32	шт
11482	0453 Рамка 3-я белая Venus EP	0,56	0,54	0,52	0,49	шт
11459	0454 Розетка RTV бел. Venus EP	6,98	6,71	6,44	6,18	шт
11470	0455 Розетка RTV 10dB бел. Venus EP	6,98	6,71	6,44	6,18	шт
11469	0457 Розетка телефонная белая Venus EP	3,48	3,35	3,22	3,08	шт
11466	0476 Розетка с з/к бел. Sсhuko EP	2,03	1,96	1,87	1,80	шт
						
09 Электротовары. 091 Провода,  цены в $						
						
12596	Кабель радиочастотный RG K-59/1,0 коаксиальный 75 Ом	0,11	0,11	0,10	0,10	м.п.
12597	Кабель радиочастотный RG K-6/0,8 коаксиальный 75 Ом	0,23	0,23	0,22	0,20	м.п.
12595	Кабель радиочастотный РК 75-4-11 коаксиальный	0,24	0,24	0,23	0,22	м.п.
12567	Кабель силовой АВВГ 2х2,5 алюм. жила	0,16	0,16	0,14	0,14	м.п.
12568	Кабель силовой АВВГ 3х2,5 алюм. жила	0,23	0,23	0,22	0,20	м.п.
12569	Кабель силовой АВВГ 3х4+1х2,5 алюм. жила	0,38	0,37	0,36	0,35	м.п.
12570	Кабель силовой АВВГ 4х16 алюм. жила	1,07	1,04	1,02	0,98	м.п.
12571	Кабель силовой ВВГ 1х6,0 медная жила	0,31	0,30	0,30	0,29	м.п.
12572	Кабель силовой ВВГ 2х1,5 медная жила	0,19	0,19	0,18	0,18	м.п.
12573	Кабель силовой ВВГ 3х1,5 медная жила	0,30	0,29	0,29	0,28	м.п.
12574	Кабель силовой ВВГ 3х2,5 медная жила	0,42	0,41	0,40	0,38	м.п.
12575	Кабель силовой ВВГ 3х2,5+1х2,5 медная жила	0,55	0,54	0,53	0,50	м.п.
12576	Кабель силовой ВВГ 3х4+1х2,5 медная жила	0,77	0,74	0,73	0,71	м.п.
12577	Кабель силовой ВВГ 3х6+1х4 медная жила	1,12	1,09	1,06	1,02	м.п.
12779	Кабель силовой ВВГ 4х16 медная жила	2,56	2,47	2,41	2,34	м.п.
12685	Кабель силовой ВВГ 4х2,5 медная жила	0,66	0,64	0,62	0,60	м.п.
11884	Кабель силовой ВВГ 4х6 медная жила	1,09	1,06	1,03	1,00	м.п.
12580	Кабель соединительный ВВП-1 2х1,5 плоский, медная жила	0,20	0,20	0,19	0,19	м.п.
12581	Кабель соединительный ВВП-1 3х1,5 плоский, медная жила	0,31	0,30	0,30	0,29	м.п.
12529	Кабель соединительный ВВП-1 3х2,5 плоский, медная жила	0,44	0,43	0,42	0,41	м.п.
12582	Кабель соединительный ВВП-2 2х1,5 плоский, многожильный	0,20	0,20	0,19	0,19	м.п.
12583	Кабель соединительный ВВП-2 2х2,5 плоский, многожильный	0,30	0,29	0,29	0,28	м.п.
12584	Кабель соединительный ВВП-2 2х4 плоский, многожильный	0,42	0,41	0,40	0,38	м.п.
12585	Кабель соединительный ВВП-2 3х1,5 плоский, многожильный	0,34	0,32	0,32	0,31	м.п.
12586	Кабель соединительный ВВП-2 3х2,5 плоский, многожильный	0,47	0,46	0,44	0,43	м.п.
12587	Кабель соединительный ВВП-2 3х4 плоский, многожильный	0,64	0,62	0,60	0,59	м.п.
12588	Кабель соединительный ВВП-2 3х6 плоский, многожильный	1,00	0,97	0,95	0,91	м.п.
12686	Кабель соединительный ВВПз-2 3х4+1х1,5 плоский, многожильный	0,70	0,68	0,66	0,65	м.п.
12592	Кабель телефонный ПРППМ 2х0,8 сельской связи	0,10	0,08	0,07	0,07	м.п.
12593	Кабель телефонный ПРППМ 2х0,9 сельской связи	0,10	0,10	0,08	0,07	м.п.
12594	Кабель телефонный ПРППМ 2х1,2 сельской связи	0,14	0,13	0,12	0,12	м.п.
11994	Кабель телефонный ТК-4W	0,16	0,16	0,14	0,14	м.п.
12598	Кабель телефонный ТППэп 10х2х0,4 городской связи	0,30	0,29	0,29	0,28	м.п.
